article_id,title,publication_date,publication_year,type,author_type,queried_author,general_h_index,general_i10_index,author_position,is_corresponding_author,n_authors,journal_display_name,journal_publisher,is_oa,oa_status,primary_topic,topic_subfield,topic_field,topic_domain,top_concepts,keywords,sdgs,total_citations,percentile_min,percentile_max,citation_norm_percentile,n_references,citations_year_6,citations_year_5,citations_year_4,citations_year_3,citations_year_2,citations_year_1,citations_year_0,citations_year_8,citations_year_7,author_total_citations
https://openalex.org/W2942591112,Excessive rainfall leads to maize yield loss of a comparable magnitude to extreme drought in the United States,2019-04-29,2019,article,Target_author,Kaiyu,69,156,middle,True,5,Global Change Biology,Wiley,True,hybrid,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy']","['Yield (engineering)', 'Environmental science', 'Crop yield', 'Crop', 'Agronomy', 'Yield gap', 'Soil water', 'Crop insurance', 'Agriculture', 'Soil science', 'Biology', 'Ecology']",[],588,99.0,100.0,0.99964135,59,112.0,107.0,108.0,101.0,78.0,46.0,7.0,,28.0,10358
https://openalex.org/W2944794516,Integrating satellite and climate data to predict wheat yield in Australia using machine learning approaches,2019-05-11,2019,article,Target_author,Kaiyu,69,156,middle,True,11,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite']","['Machine learning', 'Crop yield', 'Yield (engineering)', 'Lasso (programming language)', 'Satellite', 'Empirical modelling', 'Random forest', 'Support vector machine', 'Predictive modelling', 'Environmental science', 'Computer science', 'Agronomy', 'Engineering', 'Simulation']",['Climate action'],563,99.0,100.0,0.99927865,122,95.0,110.0,104.0,104.0,93.0,34.0,7.0,,16.0,10358
https://openalex.org/W2791592925,A high-performance and in-season classification system of field-level crop types using time-series Landsat data and a machine learning approach,2018-03-18,2018,article,Target_author,Kaiyu,69,156,middle,True,7,Remote Sensing of Environment,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Computer science', 'Field (mathematics)', 'Remote sensing', 'Machine learning', 'Contextual image classification']","['Computer science', 'Field (mathematics)', 'Remote sensing', 'Machine learning', 'Contextual image classification', 'Time series', 'Land cover', 'Artificial intelligence', 'Land use', 'Database', 'Data mining', 'Mathematics', 'Geography', 'Image (mathematics)']",[],522,98.0,100.0,0.99904342,53,96.0,70.0,92.0,77.0,62.0,41.0,6.0,15.0,62.0,10358
https://openalex.org/W3016616248,Digital agriculture to design sustainable agricultural systems,2020-04-16,2020,article,Target_author,Basso,70,193,first,True,2,Nature Sustainability,Nature Portfolio,False,closed,Photovoltaic Systems and Sustainability,Environmental Engineering,Environmental Science,Physical Sciences,"['Agriculture', 'Sustainable agriculture', 'Geospatial analysis', 'Business', 'Agricultural productivity']","['Agriculture', 'Sustainable agriculture', 'Geospatial analysis', 'Business', 'Agricultural productivity', 'Balance (ability)', 'Food systems', 'Balance of nature', 'Environmental resource management', 'Environmental planning', 'Production (economics)', 'Natural resource economics', 'Sustainable production', 'Sustainability', 'Food processing', 'Environmental economics', 'Environmental science', 'Geography', 'Food security', 'Remote sensing', 'Economics', 'Political science', 'Ecology']",['Zero hunger'],499,99.0,100.0,0.99901746,12,34.0,111.0,113.0,96.0,72.0,59.0,14.0,,,5518
https://openalex.org/W3000098473,Satellite-based soybean yield forecast: Integrating machine learning and weather data for improving crop yield prediction in southern Brazil,2020-01-09,2020,article,Target_author,Ciampitti,58,219,last,True,6,Agricultural and Forest Meteorology,Elsevier BV,False,closed,Remote Sensing in Agriculture,Ecology,Environmental Science,Physical Sciences,"['Yield (engineering)', 'Growing season', 'Crop yield', 'Linear regression', 'Random forest']","['Yield (engineering)', 'Growing season', 'Crop yield', 'Linear regression', 'Random forest', 'Multivariate statistics', 'Bayesian multivariate linear regression', 'Precipitation', 'Statistics', 'Satellite', 'Climatology', 'Mathematics', 'Environmental science', 'Meteorology', 'Computer science', 'Machine learning', 'Geography', 'Agronomy', 'Engineering', 'Biology']",['Zero hunger'],372,99.0,100.0,0.99897968,42,12.0,62.0,87.0,67.0,77.0,51.0,16.0,,,7582
https://openalex.org/W4402262878,Climate change exacerbates the environmental impacts of agriculture,2024-09-05,2024,review,Target_author,Lobell,112,269,middle,True,40,Science,American Association for the Advancement of Science,True,green,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Climate change', 'Agriculture', 'Greenhouse gas', 'Natural resource economics', 'Agrochemical']","['Climate change', 'Agriculture', 'Greenhouse gas', 'Natural resource economics', 'Agrochemical', 'Sustainable agriculture', 'Environmental science', 'Sustainability', 'Environmental resource management', 'Population', 'Business', 'Economics', 'Geography', 'Ecology']",['Zero hunger'],364,99.0,100.0,1.0,149,,,,,97.0,251.0,16.0,,,8518
https://openalex.org/W2943472941,Smallholder maize area and yield mapping at national scales with Google Earth Engine,2019-04-30,2019,article,Target_author,Lobell,112,269,last,True,7,Remote Sensing of Environment,Elsevier BV,False,closed,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Remote sensing', 'Yield (engineering)', 'Environmental science', 'Earth (classical element)', 'Earth observation']","['Remote sensing', 'Yield (engineering)', 'Environmental science', 'Earth (classical element)', 'Earth observation', 'Scale (ratio)', 'Geography', 'Mathematics', 'Satellite', 'Cartography', 'Engineering', 'Materials science', 'Aerospace engineering']",['Zero hunger'],361,99.0,100.0,0.99948542,52,45.0,59.0,69.0,65.0,59.0,43.0,9.0,,12.0,8518
https://openalex.org/W4389113716,Transfer learning in environmental remote sensing,2023-11-28,2023,article,Target_author,Lobell,112,269,last,True,4,Remote Sensing of Environment,Elsevier BV,False,closed,Species Distribution and Climate Change,Ecological Modeling,Environmental Science,Physical Sciences,"['Interpretability', 'Computer science', 'Remote sensing', 'Transfer of learning', 'Benchmark (surveying)']","['Interpretability', 'Computer science', 'Remote sensing', 'Transfer of learning', 'Benchmark (surveying)', 'Environmental monitoring', 'Domain (mathematical analysis)', 'Scale (ratio)', 'Land cover', 'Ground truth', 'Data science', 'Machine learning', 'Environmental science', 'Land use', 'Geography', 'Cartography']",[],341,99.0,100.0,0.9998803,245,,,,49.0,203.0,89.0,,,,8518
https://openalex.org/W3016661890,Towards a multiscale crop modelling framework for climate change adaptation assessment,2020-04-15,2020,review,Target_author,Peng,40,71,first,True,27,Nature Plants,Nature Portfolio,False,closed,Climate change impacts on agriculture,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,"['Predictability', 'Sustainability', 'Climate change', 'Computer science', 'Crop production']","['Predictability', 'Sustainability', 'Climate change', 'Computer science', 'Crop production', 'Environmental resource management', 'Scale (ratio)', 'Adaptation (eye)', 'Environmental science', 'Agriculture', 'Ecology', 'Geography', 'Mathematics']",['Climate action'],302,90.0,100.0,0.99960194,186,18.0,66.0,37.0,59.0,53.0,47.0,21.0,,,4976
https://openalex.org/W2884351509,"Plant litter quality affects the accumulation rate, composition, and stability of mineral-associated soil organic matter",2018-07-14,2018,article,Target_author,Castellano,48,95,last,True,6,Soil Biology and Biochemistry,Elsevier BV,True,green,Soil Carbon and Nitrogen Dynamics,Soil Science,Agricultural and Biological Sciences,Life Sciences,"['Mineralization (soil science)', 'Loam', 'Soil water', 'Organic matter', 'Agronomy']","['Mineralization (soil science)', 'Loam', 'Soil water', 'Organic matter', 'Agronomy', 'Nutrient', 'Litter', 'Chemistry', 'Plant litter', 'Nitrogen cycle', 'Animal science', 'Soil organic matter', 'Nutrient cycle', 'Nitrogen', 'Biology', 'Ecology']",['Life in Land'],242,90.0,100.0,0.9880554,77,37.0,39.0,41.0,25.0,19.0,8.0,1.0,16.0,56.0,3569
